eta_deg,Cp,M_loc
0.0,inf,
3.0,inf,
6.0,inf,
9.0,inf,
12.0,inf,
14.999999999999998,inf,
18.0,inf,
20.999999999999996,inf,
24.0,inf,
27.0,inf,
29.999999999999996,inf,
33.0,inf,
36.0,inf,
39.0,inf,
41.99999999999999,inf,
45.0,inf,
48.0,inf,
51.0,inf,
54.0,inf,
57.0,inf,
59.99999999999999,inf,
63.0,inf,
66.0,inf,
68.99999999999999,inf,
72.0,inf,
74.99999999999999,inf,
78.0,inf,
81.0,inf,
83.99999999999999,inf,
87.0,inf,
90.0,inf,
92.99999999999999,inf,
96.0,inf,
99.00000000000001,inf,
102.0,inf,
104.99999999999999,inf,
108.0,inf,
110.99999999999999,inf,
114.0,inf,
117.0,inf,
119.99999999999999,inf,
122.99999999999999,inf,
126.0,inf,
129.0,inf,
132.0,inf,
135.0,inf,
137.99999999999997,inf,
141.0,inf,
144.0,inf,
147.0,inf,
149.99999999999997,inf,
153.0,inf,
156.0,inf,
158.99999999999997,inf,
162.0,inf,
164.99999999999997,inf,
167.99999999999997,inf,
171.0,inf,
174.0,inf,
176.99999999999997,inf,
180.0,inf,
183.0,inf,
185.99999999999997,inf,
189.0,inf,
192.0,inf,
195.0,inf,
198.00000000000003,inf,
201.0,inf,
204.0,inf,
206.99999999999997,inf,
209.99999999999997,inf,
212.99999999999997,inf,
216.0,inf,
218.99999999999997,inf,
221.99999999999997,inf,
225.0,inf,
228.0,inf,
230.99999999999997,inf,
234.0,inf,
236.99999999999994,inf,
239.99999999999997,inf,
243.0,inf,
245.99999999999997,inf,
249.0,inf,
252.0,inf,
254.99999999999997,inf,
258.0,inf,
261.0,inf,
264.0,inf,
267.0,inf,
270.0,inf,
273.0,inf,
275.99999999999994,inf,
279.0,inf,
282.0,inf,
285.0,inf,
288.0,inf,
290.99999999999994,inf,
294.0,inf,
297.0,inf,
299.99999999999994,inf,
303.0,inf,
306.0,inf,
308.99999999999994,inf,
312.0,inf,
315.0,inf,
317.99999999999994,inf,
321.0,inf,
324.0,inf,
326.99999999999994,inf,
329.99999999999994,inf,
333.0,inf,
335.99999999999994,inf,
339.0,inf,
342.0,inf,
344.99999999999994,inf,
348.0,inf,
351.0,inf,
353.99999999999994,inf,
357.0,inf,
360.0,inf,
